,Unknown States
0,Alabama
1,Arizona
2,California
3,Colorado
4,Connecticut
5,Delaware
6,Georgia
7,Idaho
8,Illinois
9,Indiana
10,Kentucky
11,Louisiana
12,Maine
13,Massachusetts
14,Michigan
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,New Jersey
23,North Carolina
24,North Dakota
25,Oklahoma
26,Oregon
27,Pennsylvania
28,Rhode Island
29,South Carolina
30,South Dakota
31,Tennessee
32,Texas
33,Utah
34,Vermont
35,Virginia
36,West Virginia
37,Wisconsin
38,Wyoming
